Reference	Sentence	Itkonen	Matrix	Embed	Case	Note
wordpress.com	"<s> Karkeasti sanottuna, jos kansa kuvittelee maapallon olevan pyöreä, yrityskonsultti sanoo maapallon olevan pannukakku. </s>"	TRUE	ACT	PRED	NOM/NOM	two examples!
paintedbycakes.com	"<s> Ystäväni isä oli todella otettu kakusta ja hän itseasiassa luuli sitä ensin jonkinlaiseksi tauluksi, kunnes ystäväni kertoi kyseessä olevan kakku. </s>"	TRUE	ACT	EXIST	NOM	"""kyseessä olevan"" NP"
suhdesoppa.fi	"<s> Kumppanini tietää nykyisin ""vaatimuksestani"" ja sanoo asian olevan ok. </s>"	TRUE	ACT	PRED	NOM	"NP is ""OK"""
hommaforum.org	"<s> Jos väität sinnikkäästi vastaan ja osoitat tilastoja, kohde vaan arvelee kyseessä olevan petoksen. </s>"	TRUE	ACT	EXIST	GEN	"""kyseessä olevan"" NP"
pp.fi	<s> Suomen presidentin Mauno Koiviston vaimo on sanonut Koiviston olevan bernsteinilainen. </s>	TRUE	ACT	PRED	NOM	
pokerlistings.fi	"<s> Tapaus oli niin outo, että luulin kyseessä olevan teeskentelyn. </s>"	TRUE	ACT	EXIST	GEN	"""kyseessä olevan"" NP"
sley.fi	"<s> Asettamalla vaihtoehdoksi ""homous on valinta"" ja ""homous ei ole valinta"" mediaa seuraava lukiolainen valitsee jälkimmäisen vaihtoehdon ja ihmettelee kuinka mukaan voi väittää homouden olevan valinta. </s>"	TRUE	ACT	PRED	NOM	
kotipetripaavola.com	"<s> Jumalaan uskovana en tuomitse homoja ihmisinä, vaan rakastan heitä Jumalan rakkaudella, mutta koska homous ja sen harjoittaminen on Jumalan sanan mukaan synti, niin silloin minun on Jumalan lapsena kerrottava tässä asiassa se mikä on totuus, eli Jumalan sanan totuus, joka kertoo homouden olevan synti. </s>"	TRUE	ACT	PRED	NOM	
btcf.fi	"<s> Se, että mihin vedetään raja, että voidaan sanoa auton olevan loppu? </s>"	FALSE 				"NP is ""loppu"""
ehdokkaasi.fi	<s> He jopa epätoivoisesti hakivat vääriä argumentteja myynnin tueksi väittämällä Ilpoistenahon olevan kiinteistöyhtiö. </s>	TRUE	ACT	PRED	NOM	"matrix "" väittämällä"", nonfinite"
finnair.fi	<s> Perämies luuli kyseessä olevan moottorihäiriön. </s>	TRUE	ACT	EXIST	GEN	"""kyseessä olevan"" NP"
blogspot.fi	"<s> Liittäkää lähettämiinne kirjoihin saate, jossa kerrotaan kirjan olevan FINLANDIA-ehdokas. </s>"	TRUE	PASS	PRED	NOM	
apu.fi	<s> Miehet olivat luulleet mittarin olevan rikki. </s>	FALSE				"NP is ""rikki"""
munpalsta.com	"<s> Tilda oli oikein tyytyväinen viimeisen lapsensa sukupuolesta ja hätkähti, kun hoitajat kertoivat Alicen olevan metamorfimaagi. </s>"	TRUE	ACT	PRED	NOM	
kotipetripaavola.com	<s> Mosab Hassan Yousef joka kääntyi Muslimista Herran Jeesuksen opetuslapseksi sanoi Islamin olevan valhe. </s>	TRUE	ACT	PRED	NOM	
zygomatica.com	"<s> Toisaalla Iltalehti väitti Himasen olevan huippufilosofi . Oli niin tai näin, tuskin pystyin olemaan täysin objektiivinen. </s>"	TRUE	ACT	PRED	NOM	
blogspot.fi	"<s> Olihan mukana myös kirje, jossa kerrottiin lahjan olevan ystävänpäivä-lahjan. </s>"	TRUE	PASS	PRED	GEN	
proboards.com	"<s> Koska en jaksanut alkaa putsailla varusteita tällä kertaa, sipsuttelin yläkertaan ja istahdin hieman kuluneelle sohvalle, vaaleatukkaisen tytön viereen joka kertoi nimensä olevan Lynn. </s>"	TRUE	ACT	PRED	NOM	
tampereendemarinuoret.fi	"<s> Ei auta sanoa lapselle hauki, jos ei kerro hauen olevan kala. </s>"	TRUE	ACT	PRED	NOM	
plaza.fi	<s> Ollessani naisen luona ylioppilasasuntolassa naytin asennon jota itse kutsun lantioseisonnaksi ja myöhemmin tyttöystäväni sanoi asennon olevan hartiaseisonta. </s>	TRUE	ACT	PRED	NOM	
wordpress.com	<s> Pihan perinnekasvit -kirja kertoo kyseessä olevan ruohtosuopayrtti. </s>	TRUE	ACT	EXIST	NOM	
blogspot.fi	"<s> Onneksi en huomannut, että takakansi sanoo kirjan olevan rikosmysteeri. </s>"	TRUE	ACT	PRED	NOM	
solunetti.fi	<s> Jos translokaation yhteydessä perintöaines ei lisäänny eikä vähene sanotaan translokaation olevan balansoitunut. </s>	TRUE	PASS	PRED	NOM	
ayrshire-finland.com	"<s> Ks-yhdistyksien listoilla Omppu-Limu on miinuksella kaikissa , Originaalia ei ole ollut hetkeen eikä näy tilastoissa , Prunnista Nauta-lehti sanoi annosten olevan loppu . Ruotsalaisiakaan ei ole Ainoa saatavilla oleva sonninisä on tällä hetkellä Mischief . Eli nyt pitäisi olla asialla </s>"	FALSE				"NP is ""loppu"""
blogspot.fi	<s> En muistaakseni sanonut mikroveden olevan pääsanoma. </s>	TRUE	ACT	PRED	NOM	
digisanakirjat.fi	<s> Romaani valittiin Norjassa vuoden 2005 merkittävimmäksi romaaniksi ja Nobel-komitean puheenjohtaja Horace Engdal on sanonut kirjan olevan mestariteos. </s>	TRUE	ACT	PRED	NOM	
nordnetblogi.fi	"<s> Jos raportoit muuta, niin kerrot kyseessä olevan arvio. </s>"	TRUE	ACT	EXIST	NOM	"""kyseessä olevan"" NP"
blogspot.fi	<s> Juttelimme myös klinikalla erään todella mukavan naisen kanssa joka tykästyi Ramiin kuinka rauhallinen kaveri onkaan ja yllättyi kun kerroimme Ramin olevan lämppäri. </s>	TRUE	ACT	PRED	NOM	
munpalsta.com	<s> Näyttöön vilkaisu kertoi soittajan olevan päätoimittaja. </s>	TRUE	ACT	PRED	NOM	
marteam.fi	<s> Yleisesti on sanottu ihmisen olevan laumaeläin. </s>	TRUE	PASS	PRED	NOM	
fitfashion.fi	"<s> Viime mittauksesta on aikaa, mutta uskaltaisin väittää pituuden olevan 165cm. </s>"	FALSE 				NP is a numeral
skootterini.com	<s> Perus hyvä ruosteen poisto ja pinnoitus esim. por50? uretaani maalilla niin luulisi homman olevan ok. </s>	TRUE	ACT	PRED	NOM	"NP is ""OK"""
wordpress.com	<s> Tyttäremme sanoi mun olevan kukkafriikki. </s>	TRUE	ACT	PRED	NOM	
blogspot.fi	"<s> Nuorempana luulin aina että se oli jänis, mutta isäukkoni kertoi kyseessä olevan helmipöllön. </s>"	TRUE	ACT	EXIST	GEN	"""kyseessä olevan"" NP"
nic.fi	"<s> "" Selvisi, että asiakas oli luullut hiiren olevan jalkapedaali. </s>"	TRUE	ACT	PRED	NOM	
kolmashuone.fi	<s> Sanotaan nimen olevan ennekin. </s>	TRUE	PASS	PRED	NOM	
blogaaja.fi	"<s> Toisaalta, jos toisen joukkueen kerroin on 1.2 ja toisen yli 5, niin luulisi veikkaamisenkin olevan läpihuutojuttu. </s>"	TRUE	ACT	PRED	NOM	
claymountain.com	"<s> Sen jälkeen laita vaikka copypastella yhteen postauksen kaikki kohdat, joissa miespuolinen henkilö sanoo raiskauksen olevan ok. </s>"	TRUE	ACT	PRED	NOM	"NP is ""OK"""
tohtori.fi	<s> Osalle kerrottiin koskettajan olevan nainen. </s>	TRUE	PASS	PRED	NOM	
sub.fi	<s> Kätlin arveli kyseessä olevan syömistehtävän. </s>	TRUE	ACT	EXIST	GEN	"""kyseessä olevan"" NP"
apu.fi	<s> Lääkäri oli eri mieltä ja sanoi vian olevan lihasperäinen. </s>	TRUE	ACT	PRED	NOM	
iltasanomat.fi	<s> He ovat vain katsoneet minua monttu auki kerrottuani pelin olevan suomalaiskeksintö. </s>	TRUE	ACT	PRED	NOM	"matrix ""kerrottuani"", nonfinite"
co2-raportti.fi	"<s> Nykyiset kunnollisilla mittaustuloksilla olevat mittaukset kertovat sulamisnopeuden olevan n. 100Gt/a ja kuten sanoin, kyseinen data ei meille toistaiseksi muuta kerro. </s>"	FALSE 				NP is a numeral
mbnet.fi	<s> - Tämä laite kertoo kyseessä olevan koiran. </s>	TRUE	ACT	EXIST	GEN	"""kyseessä olevan"" NP"
fiktiivisiakeskusteluja.com	"<s> Heistä 72 prosenttia sanoi ajanjakson olevan stressaava . "" ( IS ) </s>"	TRUE	ACT	PRED	NOM	
wordpress.com	"<s> Asia ilmaistaan julkisuudessa niin, että kerrotaan kirjan olevan romaani. </s>"	TRUE	PASS	PRED	NOM	
ellit.fi	"<s> Kaikkein pahimmillaan se ilmenee, kun puhutaan haasteista sen sijaan, että rehellisesti sanottaisiin asian olevan ongelma. </s>"	TRUE	PASS	PRED	NOM	
jatkoaika.com	"<s> Takatukkaa se koutsi tosin vosi vielä hieman kasvattaa, tämän ei luulisi tsekille olevan ongelma. </s>"	TRUE	ACT	PRED	NOM	
suntuubi.com	"<s> Susi varmaan jatkaisi saarnaansa nartusta tai alkaisi ivailla, vaikka olikin sanonut aiheen olevan loppuunkäsitelty. </s>"	TRUE	ACT	PRED	NOM	
blogspot.fi	"<s> On vaikeaa siunata niitä, jotka satuttavat teitä, mutta tämä johtuu siitä, että luulette siunaamisen olevan tunneteko. </s>"	TRUE	ACT	PRED	NOM	
vihrealanka.fi	"<s> Jos hyökkäyksen kohde voi osoittaa, että todellakaan mitään perustetta ei ole, voi hyökkääjä yksinkertaisesti väittää henkilön olevan piilorasisti. </s>"	TRUE	ACT	PRED	NOM	
blogspot.fi	<s> Koe alkoi 8.15 ja minä heräilin tyytyväisenä kello 8.14 ja luulin kellon olevan 7.14. </s>	FALSE 	ACT	PRED	NOM	NP is a numeral
vaestoliitonblogi.com	<s> Epätodelliseen samaistuminen on sama asia kuin luulisi elokuvan olevan dokumentti. </s>	TRUE	ACT	PRED	NOM	
wordpress.com	<s> Luulen vastauksen olevan rasvanpuutos. </s>	TRUE	ACT	PRED	NOM	
adressit.com	<s> Melko reippaasti ja heppoisesti kirjoittajat haukkuvat lastensuojelun ja väittävät Loikalan olevan vankila. </s>	TRUE	ACT	PRED	NOM	
wordpress.com	"<s> Iltalenkillä tavattiin nimittäin koira ja omistaja, joka luuli naksuttimen olevan kaukosäädin. </s>"	TRUE	ACT	PRED	NOM	
seppohyokki.fi	<s> Vasen olkapää oli useamman vuoden ollut kovasti kipeä ja lääkärit sanoivat olkanivelen olevan rikki. </s>	FALSE				"NP is ""rikki"""
muropaketti.com	"<s> Lopulta poistettuani wlan-tikun ja pari ohjelmaa, joista päivityksen ""apuvelho"" valitti luulin homman olevan bueno. </s>"	TRUE	ACT	PRED	NOM	"NP is ""bueno"", cf. ""OK"""
blogspot.fi	"<s> Tietysti Darille maistuu sokeri ja muutkin heppanamit, mutta luulisin omppunamien olevan ykkönen. </s>"	TRUE	ACT	PRED	NOM	
blogspot.fi	"<s> (Ei, en tiedä, miksi joku luulisi tamponin olevan piirroshahmo. </s>"	TRUE	ACT	PRED	NOM	
blogspot.com.es	"<s> Noista tv-ohjelmista sen verran, että meinasin persuuksilleni lentää aikanaan kun kaverin 6v. sanoi salkkareiden olevan lemppariohjelmansa. </s>"	FALSE				TRUE but ambiguous NOM/GEN
blogspot.fi	"<s> Lääkärit eivät kuitenkaan missään vaiheessa antaneet ymmärtää, että he olisivat arvelleet kyseessä olevan myrkytys. </s>"	TRUE	ACT	EXIST	NOM	
blogspot.fi	<s> Norjalainen Dagbladet-lehti kertoo Breivikin olevan vapaamuurari. </s>	TRUE	ACT	PRED	NOM	
proboards.com	"<s> Jos tätä olisi katsonut, olisi varmaankin sanonut kyseessä olevan mies. </s>"	TRUE	ACT	EXIST	NOM	
wordpress.com	<s> Soini sanoi lapsen olevan tytön. </s>	TRUE	ACT	PRED	GEN	
wordpress.com	"<s> Sekä autettavan, auttajan itsensä että kaikkien hänen kollegojensa kohtelussa – joihin auttamis- ja ihmistyössä kuuluu samanarvoisena myös ""esimies"" tai miksi viimekätistä vastuun taakaan kantajaa ikinä kutsutaankaan – luulisi inhimillisyyden olevan itsestäänselvyys. </s>"	TRUE	ACT	PRED	NOM	
blogspot.fi	<s> Millasta toivoisit elämäsi olevan n. 10 vuoden kuluttua? </s>	FALSE				
blogspot.fi	<s> Seuraavaksi tekstari kertoi matkahuollossa olevan paketin. </s>	TRUE	ACT	EXIST	GEN	
ayrshire-finland.com	<s> Pläkkyri sanoi lehmän olevan suomenkarja. </s>	TRUE	ACT	PRED	NOM	
wordpress.com	"<s> Otsikko kirkui: ""Professori vertaa talouden nykyistä ideologiaa fasismiin"" tavoitteenaan kenties kertoa Patomäen olevan helppoheikki. </s>"	TRUE	ACT	PRED	NOM	"matrix ""kertoa"", nonfinite"
wordpress.com	"<s> Samainen Paul Krugman New York Times''in toisessa artikkelissa valaisi juttua keksityllä esimerkillä, jossa joku jengi väittää maapallon olevan suurin piirtein pyöreä, ja toinen jengi jengi väittää maapallon olevan pannukakku. </s>"	TRUE	ACT	PRED	NOM/NOM	two examples!
demi.fi	<s> Hän katseli hetken aikaa Alexia kun toinen sanoi asian olevan sääli. </s>	FALSE				"NP is ""sääli"""
pp.fi	"<s> Ihmisten tietämättömyyttä kuvaa kuitenkin myös se, että jopa 45 % NMT-puhelimia käyttävistä vastaajista sanoo puhelimessaan olevan tekstiviestimahdollisuuden. </s>"	TRUE	ACT	EXIST	GEN	
hakkiradio.com	<s> Suomalaisia sukujuuria omaava Eric kertoi tittelinpuolustamisen olevan kunnia-asia. </s>	TRUE	ACT	PRED	NOM	
helafiilis.fi	<s> Tai ainakin itse luulen kyseessä olevan uudissanan. </s>	TRUE	ACT	EXIST	GEN	
nakokulma.net	<s> Ateistille luulisi vastauksen olevan itsestäänselvä. </s>	TRUE	ACT	PRED	NOM	
genealogia.fi	<s> Jo monia kuukausia sitten kyseltiin toimituksen kautta Kiuruvedellä pitkään eläneestä sukunimestä Trumf . Kyselijä arveli nimen olevan sotilasnimi. </s>	TRUE	ACT	PRED	NOM	
kertokaa-totuus.com	<s> Olen havainnut ettei kaikki uskovaiset sano Jumalan olevan persoona. </s>	TRUE	ACT	PRED	NOM	
yykl.fi	<s> Valaskivi sanoi median olevan skandaalikone. </s>	TRUE	ACT	PRED	NOM	
mistymode.fi	"<s> Poika nyökkäsi myöntävästi Chailynin veikkaukselle, jäämättä sen enempää ihmettelemään mistä päätellen tyttö arveli Rohkelikon olevan viidesluokkalainen. </s>"	TRUE	ACT	PRED	NOM	
blogspot.fi	<s> Kertoivat vaunujen olevan kirpputoriostos. </s>	TRUE	ACT	PRED	NOM	
blogspot.fi	"<s> Kyltti kertoi maun olevan taro . No, kysäisin myyjältä, ja hän kertoi kyseessä on aasialainen perunan vastine, juurikasvi. </s>"	TRUE	ACT	PRED	NOM	
munpalsta.com	"<s> Syy ovien ohittamiseen selvisi pian, kun kaksikko saapui viimeisen oven luo: Floyd kertoi huoneen olevan lempihuoneensa. </s>"	FALSE				TRUE but ambiguous NOM/GEN
21publish.com	"<s> Ystäväni Pets eli Peeter Marvet heräsi varhain perjantaiaamuna kotonaan Tallinnassa siihen, että hänen vaimonsa kertoi puutarhassa olevan minibussin. </s>"	TRUE	ACT	EXIST	GEN	
wordpress.com	<s> Lähipiiristäkin kerrottiin laihduttamisen olevan tarpeen. </s>	FALSE				"NP is ""tarpeen"""
blogs.fi	"<s> Lukiolaiset olivat lausumasta tietenkin hyvillään, mutta väitän lausahduksen olevan osatotuus. </s>"	TRUE	ACT	PRED	NOM	
munpalsta.com	<s> Sadie kertoi äitinsä olevan aurori. </s>	TRUE	ACT	PRED	NOM	
kalamies.com	<s> Hopean ja ruskean sävyt kertovat kalan olevan lyyra. </s>	TRUE	ACT	PRED	NOM	
metropolia.fi	<s> Kumpikin kertoo opetustyön olevan sesonkiluonteista. </s>	FALSE				NP is PAR
paakallo.fi	"<s> Jos ei sarjataulukkoa olisi katsonut, olisi voinut luulla Wirmon olevan sarjakärki. </s>"	TRUE	ACT	PRED	NOM	
sub.fi	"<s> Marin ääni kantautui taas taloon, kun nainen kertoi Sarin olevan voittaja. </s>"	TRUE	ACT	PRED	NOM	
telsu.fi	<s> Keski-ikäinen Janet puolestaan pelkää sydämensä olevan aikapommi. </s>	TRUE	ACT	PRED	NOM	
lvs.fi	"<s> – Kuvailin linnun harmautta ja mustia silmiä, ja Alanko osasi kertoa linnun olevan tervapääsky. </s>"	TRUE	ACT	PRED	NOM	
proboards.com	"<s> Jada oli ollut epäluuloinen, koska arveli Edmundin olevan ihminen. </s>"	TRUE	ACT	PRED	NOM	
yle.fi	<s> Räpylämäiset takajalat ja litteä häntä kertovat majavan olevan uimataituri. </s>	TRUE	ACT	PRED	NOM	
blogspot.fi	<s> Uskallan melkein väittää syksyn olevan lempivuodenaikani. </s>	FALSE				TRUE but ambiguous NOM/GEN
finfanfun.fi	<s> On tämä ficci kuitenkin hyvin kirjoitettu ja uskaltaisin väittää hahmojen olevan IC. : ) </s>	TRUE	ACT	PRED	NOM	
ass.fi	"<s> Katsottuani pitkään ja kaihoisasti noihin isoihin, tummiin silmiin, arvelisin kyseessä olevan kellukkakuoriaisen. </s>"	TRUE	ACT	EXIST	GEN	"""kyseessä olevan"" NP"
blogspot.fi	"<s> Olen Ilelle ikuisesti kiitollinen siitä, että hän kertoi äitinsä olevan fysioterapeutti. </s>"	TRUE	ACT	PRED	NOM	
kuluttajavirasto.fi	"<s> Siksi kuluttajaa ei voi houkutella myyntitilaisuuteen arpajaisvoiton varjolla ilman, että kerrotaan kyseessä olevan kaupantekotilaisuus. </s>"	TRUE	PASS	EXIST	NOM	"""kyseessä olevan"" NP"
finfanfun.fi	"<s> Tällainen tilanne olisi niin helppoa kuvitella tytölle, koska tytöthän tunnetusti ovat toisilleen pahimpia, joten harhauduin oikeasti luulemaan päähenkilön olevan tyttö. </s>"	TRUE	ACT	PRED	NOM	
wordpress.com	<s> Kohta sen jälkeen ilmestyi FBI ovelle ja he ketoivat nimenomaan tuosta sivusta ja sanoivat miehen olevan ongelma. </s>	TRUE	ACT	PRED	NOM	
avaruus.fi	<s> Ensin kerrottiin putken olevan loppu. </s>	FALSE				"NP is ""loppu"""
blogspot.fi	<s> Kyläläiset väittävät sairauksien olevan kirous. </s>	TRUE	ACT	PRED	NOM	
blogspot.fi	"<s> Youtubessa olevaan esittelyvideoon on jälkikäteen lisätty teksti, joka kertoo kuvan olevan simulaatio. </s>"	TRUE	ACT	PRED	NOM	
blogspot.fi	"<s> Asiasta ei kuitenkaan vielä Malesiassa ollessamme ollut varmuutta, vaan meille sanottiin kertoimen olevan 1. </s>"	FALSE				NP is a numeral
nic.fi	<s> Quenton kertoo Trevorin olevan pikkumies. </s>	TRUE	ACT	PRED	NOM	
uneasyhappiness.fi	<s> Entä jos mies suureen ääneen kertoo naisen olevan pettymys? </s>	TRUE	ACT	PRED	NOM	
nic.fi	"<s> Kirurgit ovat heittämässä Scullyn ulos, mutta tri Plant kertoo Scullyn olevan lääkäri. </s>"	TRUE	ACT	PRED	NOM	
kotisivukone.com	"<s> Hän ainoastaan osoitti eron, joka esim. Akvinolaisen ja Pursiaisen ajattelussa on, vaikka kumpikin voi sanoa Jumalan olevan Oleminen. </s>"	TRUE	ACT	PRED	NOM	
kotisivukone.com	<s> Rooman kirkko myöntää Jeesuksen olevan pelastajan mutta samaan hengenvetoon se sanoo Marian olevan välittäjätär? </s>	TRUE	ACT	PRED	GEN/NOM	
wordpress.com	"<s> Kummasti tekee mieli kiskoa peittoa tiukemmin päälle aamulla, kun puhelimen näyttö kertoo ulkolämpötilan olevan +1. </s>"	FALSE				NP is a numeral
hs.fi	<s> Kuka nykyään voi väittää television olevan luksustuote? </s>	TRUE	ACT	PRED	NOM	
murhawiki.com	<s> [5] 5. heinäkuuta 2006 chechenpress.co.uk -sivustolla julkaistussa kirjoituksessaan Litvinenko väitti Putinin olevan pedofiili. </s>	TRUE	ACT	PRED	NOM	
blogspot.fi	<s> Kaiken lisäksi voisin sanoa Irvingin olevan lempikirjailijani. </s>	FALSE				TRUE but ambiguous NOM/GEN
sley.fi	<s> On yhä liian aikaista väittää Kiinassa olevan uskonnonvapaus. </s>	TRUE	ACT	EXIST	NOM	
muropaketti.com	"<s> Mikä idea tällasilla vesijäähdykyksillä on kun teho vastaa ilmajäähdytintä, ja hintaa on enemmän, ääntäkin lähtee enemmän, sekä se tosiasia että tuo voi joku päivä vuotaa alleen vieden menessään jotain, kaikki tämä vain sen takia että voi sanoa tietokoneensa olevan vesijäähdytetty? </s>"	TRUE	ACT	PRED	NOM	
mbnet.fi	"<s> Yleensä kaivaudun niin syvälle anekdoottien alle, että se mikä lopulta tulee esille, on jotain aivan muuta, kuin mistä ihmiset luulivat tarinoissaan olevan kyse. </s>"	TRUE	ACT	EXIST	NOM	"""kyse"" varies in case, cf. ""Uudistuksessa kerrottiin olevan kyseen hallinnollisista järjestelystä"", so it can be GEN"
blogspot.fi	"<s> SIksi oli hassua lukea, että niin monet luulevat kirjailijan olevan kristitty. </s>"	TRUE	ACT	PRED	NOM	
proboards.com	"<s> Kysyin muilta, että eihän tämä haitannut, ja nuo sanoivat asian olevan ok. </s>"	TRUE	ACT	PRED	NOM	"NP is ""OK"""
miesklinikka.com	"<s> Kun oireet eivät hävinneet pariin viikkoon, ostin canesten-voidetta, koska arvelin kyseessä olevan hiivatulehdus. </s>"	TRUE	ACT	EXIST	NOM	"""kyseessä olevan"" NP"
tiimiakatemia.fi	<s> Minun kohdallani testi kertoi heikkouteni olevan peli. </s>	TRUE	ACT	PRED	NOM	
teknolelu.fi	"<s> Kaiken kruunaa kyljestä löytyvä LCD-näyttö, joka kertoo käytössä olevan herkkyyden. </s>"	FALSE				This is ambiguous; the Itkonen reading is very unlikely
mtv.fi	"<s> Entä jos toimittaja olisi pyytänyt pääministeriä vastaamaan kysymykseen, kun kerran mainoskin väittää keskustan olevan asiapuolue? </s>"	TRUE	ACT	PRED	NOM	
feissarimokat.com	<s> Jätkä on runoilija: ainoo vaan et runosivun profiilissa oleva pieni tunnus ♀ kertoo julkaisijan olevan nainen? </s>	TRUE	ACT	PRED	NOM	
suomi24.fi	"<s> Jos olet seurannut USAn presidentinvaaleja, niin jopa siellä McCain kertoo Obaman olevan sosialisti. </s>"	TRUE	ACT	PRED	NOM	
blogspot.fi	"<s> Katseen palaaminen penistään esittelevään koiraaseen, saattaisi saada koiraan luulemaan kyseessä olevan parittelutuijotus. </s>"	TRUE	ACT	EXIST	NOM	"matrix""luulemaan"", nonfinite"
blogspot.fi	"<s> Poika kiinnostuu, sillä luulee kyseessä olevan Spidermanin. </s>"	TRUE	ACT	EXIST	NOM	"""kyseessä olevan"" NP"
blogspot.fi	"<s> Minähän olin tosiaan ohittanut pari ensimmäistä tästä ilmestynyttä blogijuttua, koska luulin kyseessä olevan kauhukirjan. </s>"	TRUE	ACT	EXIST	GEN	"""kyseessä olevan"" NP"
metsakoneet.fi	<s> MO : (2013-08-27 09:54:13) Lapin jättirekat kokeilu ei koske ainoastaan asfaltoituja teitä rekat ajavat tulevaisuudessa myös semmoisilla teillä joiden kantaväestö luulee tien olevan valtion . Eräänä kauniina päivänä kutsutaankin sitten paikkakunnan asukkaat tie kokoukseen ja tie yksiköidäänkin yksityistieksi . Tästä toimenpiteestä tulla tupsahtaakin sitten lasku postilaatikkohon . </s>	FALSE				This is ambiguous; the Itkonen reading is very unlikely
suntuubi.com	"ohjelmia jotka sopivat myös terrylle ja diegolle.aika kävi tylsäksi joten siru lähti safirille ja kira motokolle.minä,naruto,diego ja terry mentiin nannalle(nannalla)pimpotin oveen ja pink tuli avaamaan -moi nita jo etsit kimaraa ja kuplaa ne on täällä pink sanoi. -no oikeastaan tiesin että he ovat teillä ajattelimme tulla vain kylään.vastasin. -ai no kyllä se varmaan sopii nanna on ala kerrassa menin ala kertaan terry ja digo menivät aallon huoneeseen.sitten he huomasivat tytön aallon vieressä.diego lumoutui katsomaan tyttöä.aalto kertoi tytön olevan laila. terry huomasi heti että diegolla oli pää pimeänä ja lähti raidan huoneeseen.raidan huoneessa olikin enemmän tekemistä nimittäin pojat alkoivat pelaamaan playstayson3 sitten tuli ilta ja lähdimme kotiin päin kotona menimme viellä kauppaan ja ostimme toisen lemmikin. </s>"	TRUE	ACT	PRED	NOM	
blogspot.fi	"<s> Suomessa tavataan kahta alalajia kevättaskuruohoa, luulisin kuvassa olevan kevätketotaskuruohon. </s>"	TRUE	ACT	EXIST	GEN	
blogspot.fi	"<s> No eipä ollut ja sekä tuomari, että liikkuri sanoivat järjestyksen olevan istu-seiso-maahan. </s>"	FALSE				NP is a phrase and cannot be case-inflected
blogspot.fi	"<s> Blogitekstiä olisi syytä korjata siltä osin, kun siinä kerrotaan Suomessa olevan aseenkanto-oikeus. </s>"	TRUE	PASS	EXIST	NOM	
seurakuntalainen.fi	"<s> Tuossa aiemmin innostuin Hesekielin 48 luvusta laskemaan siellä kuvattujen Jerusalemin muurien pituutta, ja luulin yksikön olevan kyynärä. </s>"	TRUE	ACT	PRED	NOM	
tuulenvihellys.fi	<s> Se kertoi pokémonin olevan lumineon. </s>	TRUE	ACT	PRED	NOM	
wordpress.com	<s> Sivuillaan Hima Happiness kertoo Himan olevan mielentila. </s>	TRUE	ACT	PRED	NOM	
vauva.fi	"<s> ""Vasikka"" nimityskin on oiekasti rikollisesta joka rikollisjenginsä pettää eikä tytöstä joka luuli poikien olevan kaverinsa. </s>"	FALSE				TRUE but ambiguous NOM/GEN
